Episode,Consigli_dati
1,6
2,1
3,4
4,3
5,3
6,2
7,3
8,3
9,5
10,4
11,5
12,6
13,6
14,3
15,5
16,4
17,7
18,5
19,4
20,5
21,4
22,5
23,5
24,2
25,5
26,1
27,2
28,9
29,2
30,3
31,2
32,3
33,3
34,4
35,6
36,4
37,2
38,4
39,3
40,2
41,2
42,3
43,4
44,1
45,3
46,8
47,5
48,11
49,5
50,3
51,3
52,7
53,6
54,5
55,8
56,8
57,11
58,2
59,5
60,3
61,4
62,2
63,4
64,2
65,3
66,3
67,2
68,9
69,7
70,6
71,5
72,2
73,3
74,4
75,7
76,8
77,2
78,3
79,1
80,6
81,5
82,4
83,5
84,4
85,3
86,3
87,4
88,4
89,3
90,2
91,4
92,2
93,5
94,1
95,6
96,3
97,1
98,2
99,2
100,2
101,3
