Episode,Consigli_dati
1,1
2,3
3,4
4,10
5,3
6,5
7,2
8,3
9,3
10,3
11,3
12,2
13,4
14,8
15,4
16,3
17,3
18,2
19,2
20,3
21,5
22,4
23,7
24,2
25,2
26,3
27,4
28,3
29,3
30,7
31,3
32,5
33,5
34,5
35,1
36,1
37,2
38,2
39,3
40,1
41,2
42,2
43,2
44,4
45,4
46,3
47,4
48,4
49,5
50,2
51,6
52,6
53,2
54,4
55,3
56,2
57,3
58,6
59,3
60,4
61,3
62,7
63,5
64,10
65,5
66,8
67,1
68,2
69,6
70,3
71,4
72,4
73,10
74,3
75,8
76,7
77,7
78,3
79,1
80,3
81,5
82,8
83,7
84,9
85,7
86,3
87,4
88,8
89,4
90,4
91,2
92,5
93,6
94,7
95,4
96,4
97,6
98,8
99,11
100,3
101,7
102,5
103,3
104,6
105,3
106,6
107,4
108,5
109,6
110,5
111,7
112,4
113,10
114,8
115,4
116,10
117,3
118,7
119,5
120,10
121,5
122,3
123,3
124,6
125,5
126,8
127,4
128,4
129,10
130,4
131,6
132,6
133,4
134,5
135,3
136,3
137,8
138,6
139,8
140,4
141,11
142,8
143,4
144,7
145,7
146,8
147,7
148,13
149,7
150,5
151,8
152,8
153,2
154,8
155,6
156,7
157,7
158,3
159,9
160,5
161,5
162,3
163,6
164,11
165,11
166,9
167,8
168,8
169,11
170,8
171,4
172,4
173,10
174,6
175,2
176,13
177,7
178,6
179,5
180,10
181,6
182,5
183,3
184,13
185,12
186,13
187,4
188,5
189,8
190,4
191,8
192,13
193,7
194,7
195,5
196,8
197,7
198,9
199,7
200,6
201,9
202,5
203,7
204,6
205,6
206,6
207,7
208,6
209,11
210,8
211,8
212,6
213,9
214,13
215,8
216,3
217,4
218,7
219,3
220,8
221,6
222,6
223,2
224,3
225,6
226,8
227,7
228,8
229,3
230,5
231,9
232,9
233,7
234,5
235,10
236,4
237,8
238,10
239,7
240,4
241,5
242,5
243,6
244,4
245,8
246,4
247,6
248,6
249,5
250,7
251,3
252,5
253,5
254,14
255,2
256,6
257,3
258,8
259,4
260,4
261,5
262,7
263,2
264,7
265,8
266,11
267,7
268,5
269,7
270,8
271,6
272,9
273,7
274,2
275,5
276,8
277,5
278,5
279,3
280,7
281,6
282,6
283,5
284,8
285,5
286,5
287,10
288,7
289,12
290,4
291,10
292,3
293,6
294,4
295,4
296,12
297,10
298,3
299,10
300,11
301,7
