Episode,Reward
1,80
2,40
3,130
4,10
5,-5
6,0
7,0
8,35
9,25
10,25
11,55
12,70
13,65
14,10
15,40
16,35
17,115
18,-40
19,55
20,-10
21,-10
22,55
23,75
24,-20
25,75
26,-10
27,-10
28,25
29,-50
30,-20
31,-25
32,-10
33,40
34,100
35,-25
36,-25
37,-10
38,-40
39,-25
40,-45
41,-30
42,-55
43,-40
44,-30
45,-45
46,70
47,-5
48,55
49,80
50,-40
51,240
52,40
53,70
54,65
55,70
56,70
57,55
58,-10
59,30
60,-50
61,-20
62,-50
63,25
64,-35
65,-35
66,-35
67,-5
68,70
69,70
70,70
71,-5
72,-5
73,-50
74,-5
75,40
76,40
77,-50
78,-50
79,-50
80,55
81,-40
82,-40
83,-40
84,-40
85,-55
86,-15
87,85
88,90
89,120
90,75
91,275
92,290
93,5
94,0
95,100
96,40
97,40
98,50
99,50
100,50
101,75
102,50
103,40
104,75
105,65
106,100
107,65
108,65
109,40
110,50
111,50
112,40
113,250
114,25
115,25
116,0
117,0
118,145
119,40
120,50
121,40
122,50
123,75
124,50
125,80
126,20
127,20
128,65
129,10
130,20
131,45
132,180
133,30
134,55
135,70
136,240
137,45
138,20
139,20
140,265
141,115
142,130
143,100
144,210
145,235
146,20
147,240
148,240
149,90
150,240
151,240
152,-5
153,240
154,-30
155,40
156,240
157,40
158,210
159,40
160,225
161,-50
162,-50
163,-50
164,-50
165,0
166,-25
167,-10
168,15
169,15
170,40
171,30
172,45
173,40
174,25
175,45
176,160
177,55
178,20
179,240
180,240
181,210
182,35
183,0
184,25
185,25
186,25
187,0
188,30
189,225
190,240
191,210
192,40
193,0
194,-25
195,-25
196,-25
197,-25
198,-25
199,0
200,260
201,50
202,40
203,55
204,-5
205,-5
206,20
207,20
208,-5
209,180
210,15
211,55
212,25
213,225
214,100
215,90
216,210
217,85
218,20
219,225
220,100
221,85
222,50
223,225
224,210
225,240
226,65
227,75
228,55
229,25
230,25
231,225
232,240
233,225
234,50
235,60
236,65
237,60
238,75
239,225
240,240
241,25
242,65
243,70
244,20
245,20
246,75
247,20
248,60
249,50
250,25
251,-20
252,100
253,45
254,35
255,25
256,50
257,5
258,-5
259,40
260,20
261,10
262,-5
263,40
264,-20
265,-20
266,-10
267,20
268,25
269,25
270,-5
271,160
272,25
273,25
274,55
275,210
276,-55
277,210
278,70
279,-25
280,40
281,210
282,-5
283,-5
284,25
285,40
286,-40
287,-55
288,-25
289,55
290,10
291,-5
292,10
293,10
294,25
295,10
296,-20
297,10
298,-20
299,-20
300,40
301,40
302,10
303,40
304,55
305,225
306,40
307,25
308,5
309,55
310,55
311,40
312,25
313,55
314,55
315,10
316,25
317,25
318,25
319,40
320,85
321,55
322,55
323,25
324,25
325,25
326,25
327,10
328,95
329,55
330,25
331,10
332,40
333,40
334,55
335,-5
336,25
337,40
338,25
339,25
340,40
341,10
342,55
343,40
344,25
345,40
346,10
347,10
348,25
349,25
350,70
351,55
352,55
353,85
354,-5
355,55
356,25
357,25
358,70
359,55
360,40
361,70
362,315
363,95
364,95
365,315
366,80
367,95
368,180
369,120
370,70
371,35
372,355
373,75
374,240
375,145
376,10
377,330
378,70
379,35
380,190
381,50
382,230
383,100
384,250
385,105
386,60
387,175
388,-5
389,135
390,195
391,345
392,110
393,55
394,90
395,5
396,10
397,255
398,265
399,200
400,130
401,55
402,415
403,220
404,60
405,70
406,35
407,330
408,480
409,125
410,290
411,65
412,115
413,315
414,80
415,205
416,80
417,375
418,245
419,190
420,75
421,175
422,180
423,100
424,55
425,125
426,170
427,180
428,105
429,150
430,125
431,135
432,395
433,125
434,260
435,340
436,125
437,130
438,225
439,280
440,155
441,315
442,65
443,145
444,155
445,305
446,145
447,130
448,130
449,125
450,220
451,255
452,160
453,175
454,75
455,295
456,230
457,210
458,95
459,135
460,125
461,75
462,50
463,70
464,275
465,530
466,160
467,365
468,530
469,490
470,180
471,180
472,125
473,200
474,115
475,320
476,395
477,280
478,415
479,365
480,200
481,580
482,240
483,160
484,390
485,340
486,370
487,165
488,250
489,345
490,495
491,140
492,190
493,100
494,155
495,280
496,275
497,250
498,245
499,270
500,470
501,225
502,265
503,395
504,190
505,175
506,185
507,340
508,245
509,135
510,365
511,505
512,355
513,150
514,440
515,415
516,160
517,490
518,470
519,115
520,280
521,420
522,190
523,270
524,420
525,295
526,125
527,340
528,390
529,515
530,405
531,365
532,470
533,135
534,315
535,265
536,315
537,260
538,495
539,185
540,505
541,380
542,215
543,210
544,255
545,465
546,200
547,215
548,465
549,325
550,150
551,190
552,285
553,265
554,190
555,260
556,420
557,390
558,395
559,340
560,305
561,315
562,410
563,145
564,305
565,230
566,220
567,215
568,185
569,480
570,340
571,340
572,425
573,150
574,100
575,200
576,175
577,440
578,340
579,265
580,290
581,365
582,435
583,265
584,440
585,205
586,255
587,315
588,380
589,340
590,265
591,440
592,250
593,330
594,430
595,185
596,295
597,100
598,155
599,315
600,165
601,365
