Episode,Steps
1,8
2,7
3,11
4,12
5,9
6,9
7,12
8,6
9,9
10,6
11,15
12,18
13,16
14,10
15,7
16,13
17,7
18,16
19,20
20,14
21,10
22,11
23,9
24,10
25,15
26,9
27,8
28,8
29,13
30,19
31,17
32,9
33,7
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,11
42,12
43,22
44,17
45,16
46,12
47,15
48,15
49,16
50,27
51,16
52,16
53,15
54,12
55,15
56,10
57,6
58,10
59,21
60,17
61,11
62,16
63,13
64,12
65,8
66,6
67,7
68,9
69,29
70,11
71,9
72,9
73,9
74,10
75,9
76,12
77,11
78,6
79,8
80,14
81,16
82,6
83,11
84,14
85,9
86,9
87,9
88,9
89,9
90,9
91,9
92,11
93,7
94,6
95,6
96,6
97,10
98,12
99,11
100,8
101,10
102,9
103,9
104,6
105,7
106,7
107,6
108,6
109,12
110,10
111,11
112,9
113,7
114,7
115,8
116,9
117,9
118,6
119,10
120,10
121,9
122,9
123,11
124,10
125,19
126,6
127,12
128,10
129,7
130,8
131,7
132,8
133,6
134,6
135,16
136,11
137,18
138,6
139,7
140,7
141,9
142,7
143,15
144,8
145,6
146,7
147,15
148,16
149,18
150,9
151,13
152,8
153,6
154,15
155,25
156,10
157,10
158,18
159,12
160,15
161,8
162,15
163,10
164,10
165,10
166,9
167,9
168,11
169,9
170,9
171,7
172,12
173,8
174,15
175,15
176,18
177,9
178,13
179,10
180,12
181,14
182,11
183,9
184,10
185,12
186,10
187,9
188,10
189,17
190,24
191,23
192,9
193,25
194,11
195,10
196,25
197,20
198,23
199,9
200,24
201,13
202,13
203,17
204,22
205,19
206,14
207,14
208,18
209,28
210,12
211,22
212,11
213,18
214,27
215,24
216,14
217,14
218,25
219,18
220,31
221,27
222,17
223,9
224,23
225,16
226,22
227,20
228,20
229,27
230,27
231,22
232,31
233,14
234,21
235,21
236,18
237,26
238,24
239,15
240,27
241,19
242,29
243,23
244,13
245,22
246,23
247,22
248,21
249,27
250,21
251,31
