Episode,Epsilon
1,1.0
2,0.946354579813443
3,0.918316468354365
4,0.8690529955452602
5,0.810157377815473
6,0.7147372386831305
7,0.653073201944699
8,0.6149486215357263
9,0.547986285490042
10,0.5057535983897912
11,0.4529463432347434
12,0.43952667968844233
13,0.3819719776053028
14,0.36512303261753626
15,0.32864265128599696
16,0.30483872516307353
17,0.27164454854530906
18,0.24206491716205145
19,0.20722748400265262
20,0.1865228530605915
21,0.1549480222912372
22,0.13066846301911936
23,0.1176130407830293
24,0.1032418023864836
25,0.08662902049662846
26,0.07268942442628039
27,0.06641813604822402
28,0.05601075525639029
29,0.04892091923449087
30,0.04125526245077418
31,0.03549537564593805
32,0.02948667236521416
33,0.02524301744132218
34,0.02128756625768776
35,0.018500023224111744
36,0.015368315270123408
37,0.012639398604785928
38,0.01184203826198843
39,0.010447285872500434
40,0.00998645168764533
41,0.00998645168764533
42,0.00998645168764533
43,0.00998645168764533
44,0.00998645168764533
45,0.00998645168764533
46,0.00998645168764533
47,0.00998645168764533
48,0.00998645168764533
49,0.00998645168764533
50,0.00998645168764533
51,0.00998645168764533
52,0.00998645168764533
53,0.00998645168764533
54,0.00998645168764533
55,0.00998645168764533
56,0.00998645168764533
57,0.00998645168764533
58,0.00998645168764533
59,0.00998645168764533
60,0.00998645168764533
61,0.00998645168764533
62,0.00998645168764533
63,0.00998645168764533
64,0.00998645168764533
65,0.00998645168764533
66,0.00998645168764533
67,0.00998645168764533
68,0.00998645168764533
69,0.00998645168764533
70,0.00998645168764533
71,0.00998645168764533
72,0.00998645168764533
73,0.00998645168764533
74,0.00998645168764533
75,0.00998645168764533
76,0.00998645168764533
77,0.00998645168764533
78,0.00998645168764533
79,0.00998645168764533
80,0.00998645168764533
81,0.00998645168764533
82,0.00998645168764533
83,0.00998645168764533
84,0.00998645168764533
85,0.00998645168764533
86,0.00998645168764533
87,0.00998645168764533
88,0.00998645168764533
89,0.00998645168764533
90,0.00998645168764533
91,0.00998645168764533
92,0.00998645168764533
93,0.00998645168764533
94,0.00998645168764533
95,0.00998645168764533
96,0.00998645168764533
97,0.00998645168764533
98,0.00998645168764533
99,0.00998645168764533
100,0.00998645168764533
101,0.00998645168764533
