Episode,Steps
1,6
2,7
3,12
4,9
5,9
6,10
7,13
8,10
9,11
10,9
11,10
12,8
13,11
14,8
15,7
16,7
17,12
18,11
19,9
20,9
21,19
22,9
23,9
24,18
25,11
26,9
27,9
28,10
29,16
30,13
31,10
32,16
33,12
34,11
35,9
36,10
37,13
38,9
39,10
40,9
41,9
42,11
43,18
44,6
45,6
46,6
47,9
48,7
49,11
50,11
51,8
52,11
53,7
54,6
55,8
56,9
57,8
58,9
59,9
60,9
61,9
62,9
63,10
64,9
65,9
66,9
67,9
68,9
69,6
70,6
71,6
72,6
73,6
74,9
75,6
76,8
77,10
78,10
79,14
80,8
81,6
82,11
83,11
84,10
85,10
86,15
87,8
88,10
89,6
90,6
91,6
92,8
93,12
94,15
95,13
96,11
97,10
98,10
99,10
100,10
101,10
102,14
103,11
104,11
105,9
106,9
107,10
108,10
109,10
110,10
111,8
112,10
113,10
114,17
115,18
116,15
117,18
118,12
119,12
120,7
121,8
122,9
123,10
124,18
125,17
126,14
127,17
128,16
129,16
130,18
131,11
132,10
133,9
134,14
135,12
136,18
137,16
138,17
139,16
140,16
141,18
142,17
143,17
144,19
145,12
146,19
147,15
148,13
149,12
150,17
151,12
152,10
153,11
154,12
155,15
156,9
157,12
158,35
159,14
160,30
161,11
162,17
163,10
164,15
165,14
166,16
167,25
168,29
169,35
170,31
171,26
172,15
173,31
174,30
175,32
176,23
177,27
178,25
179,26
180,10
181,17
182,24
183,30
184,22
185,19
186,29
187,11
188,23
189,28
190,25
191,26
192,13
193,27
194,24
195,12
196,27
197,25
198,28
199,21
200,12
201,16
202,24
203,20
204,15
205,15
206,28
207,28
208,16
209,24
210,31
211,25
212,24
213,10
214,11
215,16
216,28
217,24
218,23
219,23
220,25
221,26
222,21
223,27
224,18
225,27
226,14
227,16
228,34
229,25
230,25
231,19
232,26
233,21
234,27
235,21
236,19
237,19
238,34
239,21
240,13
241,27
242,12
243,17
244,18
245,23
246,9
247,17
248,28
249,18
250,25
251,17
252,21
253,23
254,23
255,16
256,17
257,16
258,21
259,26
260,24
261,25
262,22
263,23
264,18
265,18
266,19
267,26
268,21
269,22
270,22
271,22
272,20
273,21
274,17
275,24
276,27
277,19
278,22
279,17
280,27
281,19
282,23
283,26
284,21
285,25
286,21
287,24
288,24
289,25
290,25
291,18
292,21
293,26
294,26
295,21
296,22
297,17
298,32
299,26
300,26
301,23
302,21
303,22
304,21
305,22
306,27
307,17
308,22
309,22
310,24
311,25
312,23
313,17
314,25
315,24
316,25
317,23
318,23
319,22
320,26
321,29
322,22
323,21
324,25
325,28
326,26
327,23
328,15
329,25
330,22
331,19
332,26
333,19
334,23
335,23
336,23
337,26
338,24
339,31
340,27
341,22
342,22
343,22
344,27
345,17
346,22
347,23
348,23
349,29
350,23
351,23
