Episode,Reward
1,20
2,45
3,80
4,55
5,265
6,60
7,85
8,75
9,100
10,10
11,280
12,10
13,75
14,25
15,0
16,30
17,25
18,25
19,-25
20,-40
21,165
22,-15
23,-25
24,100
25,10
26,-40
27,-40
28,10
29,70
30,60
31,35
32,110
33,65
34,55
35,10
36,35
37,130
38,0
39,-25
40,-40
41,-25
42,-25
43,70
44,-35
45,-50
46,-50
47,-20
48,-35
49,110
50,75
51,-5
52,50
53,-5
54,-30
55,-5
56,-5
57,20
58,10
59,10
60,10
61,35
62,35
63,35
64,10
65,10
66,10
67,35
68,10
69,50
70,50
71,50
72,50
73,50
74,115
75,50
76,90
77,85
78,75
79,140
80,80
81,50
82,155
83,75
84,60
85,5
86,55
87,90
88,130
89,75
90,50
91,50
92,90
93,180
94,245
95,135
96,55
97,55
98,110
99,85
100,85
101,20
102,50
103,95
104,110
105,60
106,60
107,60
108,75
109,55
110,85
111,70
112,85
113,85
114,250
115,310
116,245
117,260
118,110
119,135
120,65
121,105
122,120
123,135
124,300
125,240
126,220
127,235
128,270
129,210
130,235
131,80
132,70
133,-5
134,110
135,120
136,285
137,160
138,285
139,260
140,225
141,310
142,260
143,285
144,335
145,85
146,285
147,150
148,110
149,110
150,235
151,60
152,-40
153,35
154,85
155,190
156,35
157,65
158,720
159,185
160,395
161,135
162,285
163,55
164,10
165,40
166,160
167,380
168,480
169,620
170,580
171,490
172,35
173,555
174,395
175,530
176,375
177,235
178,395
179,325
180,-5
181,235
182,365
183,335
184,205
185,560
186,320
187,-5
188,215
189,395
190,415
191,245
192,135
193,380
194,215
195,10
196,355
197,305
198,355
199,275
200,-5
201,25
202,315
203,125
204,60
205,10
206,355
207,330
208,150
209,240
210,470
211,295
212,120
213,20
214,-5
215,10
216,385
217,295
218,215
219,265
220,285
221,430
222,205
223,340
224,140
225,310
226,10
227,160
228,670
229,390
230,270
231,105
232,480
233,150
234,390
235,175
236,65
237,150
238,570
239,175
240,110
241,440
242,60
243,60
244,235
245,300
246,-40
247,235
248,260
249,185
250,170
251,-10
252,235
253,365
254,275
255,135
256,185
257,160
258,200
259,390
260,240
261,390
262,375
263,225
264,135
265,160
266,185
267,390
268,200
269,290
270,250
271,275
272,210
273,200
274,135
275,165
276,465
277,200
278,175
279,110
280,465
281,135
282,300
283,465
284,155
285,290
286,275
287,400
288,365
289,415
290,340
291,135
